Player Name,Club,Position,Minutes,Goals,Assists,Shots,Shots On Target,Passes%,Conversion %,Touches_per90,Passes_per90,Shots_per90,Assists_per90,Goals_per90,Carries_per90,Progressive Carries_per90,Through Balls_per90,Crosses_per90,Tackles_per90,Interceptions_per90,Ground Duels_per90,Aerial Duels_per90,Saves_per90,Clearances_per90,Fouls_per90
Jurriën Timber,Arsenal,DEF,2422,1,3,14,34,65.0,26.0,65.10322047894303,16.7588769611891,0.5202312138728323,0.11147811725846407,0.037159372419488024,2.898431048720066,1.412056151940545,0.037159372419488024,0.22295623451692814,2.1552436003303055,0.22295623451692814,5.499587118084228,6.2056151940545,0.0,1.523534269199009,0.0
Kai Havertz,Arsenal,FWD,1874,9,3,53,2,81.0,0.0,40.1974386339381,25.357524012806827,2.545357524012807,0.144076840981857,0.43223052294557096,5.570971184631804,1.632870864461046,0.048025613660619,0.288153681963714,0.768409818569904,0.9124866595517609,6.099252934898613,1.4407684098185698,0.0,1.536819637139808,1.8249733191035218
Leandro Trossard,Arsenal,MID,2550,8,7,72,2,81.0,6.0,49.76470588235294,33.529411764705884,2.5411764705882356,0.24705882352941178,0.2823529411764706,7.623529411764705,4.764705882352941,0.10588235294117646,2.4000000000000004,1.0941176470588236,0.8823529411764706,5.894117647058824,2.0823529411764703,0.0,0.49411764705882355,0.9529411764705882
Martin Ødegaard,Arsenal,MID,2328,3,8,49,12,93.0,13.0,69.2396907216495,72.60309278350516,1.8943298969072166,0.30927835051546393,0.11597938144329897,22.22938144329897,10.012886597938143,0.5798969072164948,0.0,0.7345360824742269,0.9278350515463918,8.27319587628866,0.7345360824742269,0.0,0.19329896907216496,0.4639175257731959
Mikel Merino,Arsenal,MID,1581,7,2,38,7,78.0,6.0,48.15939278937382,77.87476280834915,2.163187855787476,0.11385199240986718,0.3984819734345351,23.851992409867172,13.605313092979129,1.537001897533207,4.326375711574952,2.618595825426945,1.537001897533207,17.647058823529413,2.2770398481973433,0.0,1.3092979127134725,2.333965844402277
Myles Lewis-Skelly,Arsenal,DEF,1370,1,0,3,6,86.0,12.0,63.32846715328467,128.82481751824818,0.19708029197080293,0.0,0.0656934306569343,30.153284671532848,17.54014598540146,0.19708029197080293,0.5255474452554744,1.4452554744525548,2.2335766423357666,8.474452554744525,12.416058394160585,0.0,1.5766423357664234,0.7226277372262774
Oleksandr Zinchenko,Arsenal,DEF,522,0,0,10,0,0.0,0.0,88.10344827586208,0.0,1.7241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,1.5517241379310345,1.379310344827586
Raheem Sterling,Arsenal,MID,496,0,2,11,0,0.0,0.0,54.435483870967744,0.0,1.995967741935484,0.3629032258064516,0.0,0.0,0.0,0.0,0.0,1.6330645161290325,0.0,0.0,0.0,0.0,0.5443548387096774,2.1774193548387095
Riccardo Calafiori,Arsenal,DEF,984,2,1,10,2,92.0,10.0,62.46951219512195,110.1219512195122,0.9146341463414633,0.09146341463414635,0.1829268292682927,26.158536585365855,12.987804878048781,0.27439024390243905,0.5487804878048781,0.0,1.1890243902439026,11.25,1.8292682926829267,0.0,2.1951219512195124,1.4634146341463417
Thomas Partey,Arsenal,MID,2799,4,0,26,3,83.0,0.0,73.60128617363344,25.273311897106108,0.8360128617363344,0.0,0.12861736334405144,4.244372990353698,2.4115755627009645,0.0,1.1897106109324758,2.8617363344051445,0.707395498392283,3.1832797427652735,2.282958199356913,0.0,1.414790996784566,1.4469453376205788
William Saliba,Arsenal,DEF,3041,2,0,6,1,88.0,8.0,85.32390660966787,45.87306806971391,0.1775731667214732,0.0,0.059191055573824404,9.796119697467939,5.504768168365669,0.059191055573824404,0.147977638934561,1.8349227227885565,0.7694837224597172,3.1963170009865176,2.486024334100625,0.0,3.4922722788556397,0.8286747780335415
Amadou Onana,Aston Villa,MID,1624,3,0,17,9,78.0,5.0,58.57758620689655,43.55911330049261,0.9421182266009852,0.0,0.16625615763546797,9.58743842364532,4.544334975369458,0.2770935960591133,2.6600985221674875,3.0480295566502464,0.4433497536945813,8.36822660098522,2.0504926108374386,0.0,2.2167487684729066,1.7733990147783252
Axel Disasi,Aston Villa,DEF,853,1,0,4,0,0.0,0.0,71.53575615474796,0.0,0.42203985932004684,0.0,0.10550996483001171,0.0,0.0,0.0,0.0,1.5826494724501758,0.0,0.0,0.0,0.0,2.9542790152403287,0.5275498241500586
Boubacar Kamara,Aston Villa,MID,1725,1,0,10,0,88.0,0.0,61.77391304347827,63.54782608695652,0.5217391304347826,0.0,0.05217391304347826,14.243478260869566,6.730434782608696,0.1565217391304348,0.5217391304347826,2.608695652173913,1.4086956521739131,8.243478260869566,1.7217391304347824,0.0,2.4521739130434783,0.0
Diego Carlos,Aston Villa,DEF,828,0,0,4,0,0.0,0.0,73.91304347826087,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.0,0.0,3.8043478260869565,1.1956521739130435
Emiliano Martínez,Aston Villa,GKP,3195,0,0,0,0,0.0,0.0,44.59154929577465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,2.8169014084507045,0.5633802816901409,0.05633802816901408
Ezri Konsa,Aston Villa,DEF,2937,2,0,11,11,85.0,10.0,60.88866189989785,59.5097037793667,0.33707865168539325,0.0,0.061287027579162406,12.900919305413687,7.1092951991828395,0.12257405515832481,0.3983656792645556,1.041879468845761,1.3789581205311543,3.5852911133810013,4.106230847803881,0.0,3.278855975485189,0.2757916241062308
